State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
California,Amazon,Sunnyvale,7,01/20/2023,03/19/2023,Layoff Permanent,,,,Santa Clara County,,905 11th Avenue Sunnyvale CA 94089
California,Amazon,Sunnyvale,5,01/20/2023,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1100 Discovery Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,2,01/20/2023,03/19/2023,Layoff Permanent,,,,Santa Clara County,,1140 Enterprise Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,10,01/20/2023,03/19/2023,Layoff Permanent,,,,Orange County,,40 Pacifica Suite 100 Irvine CA 92618
California,Amazon,Irvine,1,01/20/2023,03/19/2023,Layoff Permanent,,,,Orange County,,123 Technology Dr Irvine CA 92618
California,Amazon,Irvine,17,01/20/2023,03/19/2023,Layoff Permanent,,,,Orange County,,20 Pacifica Suite 900 Irvine CA 92618
California,Amazon,Irvine,58,01/20/2023,03/19/2023,Layoff Permanent,,,,Orange County,,17300 Laguna Canyon Road Irvine CA 92618
California,Amazon,San Diego,98,01/20/2023,03/19/2023,Layoff Permanent,,,,San Diego County,,10300 Campus Point Dr Suite 200 San Diego CA 92121
California,Amazon,San Diego,2,01/20/2023,03/19/2023,Layoff Permanent,,,,San Diego County,,4575 La Jolla Village Drive San Diego CA 92122
California,Amazon,San Francisco,1,01/20/2023,03/19/2023,Layoff Permanent,,,,San Francisco County,,200 Paul Ave #402 San Francisco CA 94124
California,Amazon,San Francisco,20,01/20/2023,03/19/2023,Layoff Permanent,,,,San Francisco County,,475 Sansome St 10th floor San Francisco CA 94111
California,Amazon,San Francisco,63,01/20/2023,03/19/2023,Layoff Permanent,,,,San Francisco County,,188 Spear St 2nd Floor San Francisco CA 94105
California,Amazon,San Francisco,20,01/20/2023,03/19/2023,Layoff Permanent,,,,San Francisco County,,525 Market St San Francisco CA 94105
Washington,Amazon,"Seattle, Bellevue","2,300",01/18/2023,03/19/2023,Layoff,Permanent,,,,,
Minnesota,Amazon Warehouse,Shakopee,680,01/01/2023,03/31/2023,,Rapid Response in Progress,,,,Retail,
California,Amazon,Sunnyvale,31,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1120 Enterprise Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,73,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1100 Enterprise Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,14,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1160 Enterprise Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,55,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,905 11th Avenue Sunnyvale CA 94089
California,Amazon,Sunnyvale,44,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1100 Discovery Way Sunnyvale CA 94089
California,Amazon,Sunnyvale,46,12/05/2022,01/17/2023,Layoff Permanent,,,,Santa Clara County,,1140 Enterprise Way Sunnyvale CA 94089
California,Amazon,Irvine,53,11/09/2022,01/04/2023,Layoff Permanent,,,,Orange County,,17871 Von Karman Ave Irvine CA 92614
Illinois,Whole Foods Market-Englewood Store,Chicago,52,09/12/2022,11/13/2022,Closing,Permanent,No,Northeast 4,Cook,Retail Supermarkets,Not Provided
Washington,Amazon Health Services,Seattle,159,09/07/2022,12/01/2022,Closure,Permanent,,,,,
Maryland,Amazon,,190,08/26/2022,10/25/2022,Plant Closure,,,,,493110,
Maryland,Amazon,,163,08/26/2022,10/25/2022,Plant Closure,,,,,493110,
Illinois,Whole Foods Market,Chicago,128,05/02/2022,05/06/2022,Closing,Permanent,No,4,Cook,Retail Supermarket,Not Provided
California,Whole Foods Market,Tarzana,117,05/02/2022,05/06/2022,Closure Permanent,,,,Los Angeles County,,"18700 Ventura Boulevard, Suite #190, Tarzana CA 91356"
