Company,City,Number of Workers,WARN Received Date,Effective Date
Amazon,New York,89.0,2016-04-21,07/20/2016
Amazon,Brooklyn,5.0,2016-04-21,07/20/2016
Apple Inc.,New York,49.0,2016-01-15,04/15/2016
Microsoft Corporation,Hauppauge,1.0,2014-09-18,
Microsoft Corporation,Hauppauge,32.0,2014-07-17,
Microsoft Corporation,Islandia,27.0,2012-12-06,03/08/2013
Microsoft Corporation,New York,26.0,2009-05-05,08/03/2009
