Company,City,Number of Workers,WARN Received Date,Effective Date
"Meta Platforms, Inc. (West 3rd)",Austin,154,2022-11-16,01/13/2023
"Meta Platforms, Inc. (Mcallen Pass)",Austin,11,2022-11-16,01/13/2023
"Meta Platforms, Inc.(W,6th)",Austin,50,2022-11-16,01/13/2023
