State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,Gross Polowy LLC (2 sites in Williamsville),Williamsville,146,05/22/2020,03/23/2020,Temporary Plant Layoff,,,Western Region,Erie,Law firm,Unforeseeable business circumstances prompted by COVID- 19
New York,"WeWork Companies, Inc. (115 Broadway, NY, NY 10006)",New York,2,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Unforeseeable business circumstances prompted by COVID- 19
New York,International Business Machines (IBM),Sterling Forest,42,05/21/2020,08/19/2020,Plant Layoff,,,Mid-Hudson Region,Orange,American multinational technology company,Economic
New York,"WeWork Companies, Inc. (Broad St.)",New York,40,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (Greenwich St.)",New York,1,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (W 40th St.)",New York,1,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (500 7th Ave)",New York,6,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (W 14h St.)",New York,1,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (1450 Broadway)",New York,1,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (12 E. 49th St)",New York,3,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (175 Varick St.)",New York,4,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (205 Hudson St.)",New York,1,05/21/2020,08/19/2020,Plant Layoff,,,New York City,New York,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (3537 36th St.)",Queens,2,05/21/2020,08/19/2020,Plant Layoff,,,New York City,Queens,Commercial real estate company,Economic
New York,"WeWork Companies, Inc. (620 Avenue of the Americas)",Astoria,111,05/21/2020,08/19/2020,Plant Layoff,,,New York City,Queens,Commercial real estate company,Economic
New York,"Merritt Hospitality, LLC (at the Courtyard Manhattan-Midtown East",New York,65,05/21/2020,04/26/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Pier Sixty, LLC",New York,291,05/20/2020,05/29/2020,Plant Layoff,,,New York City,New York,Catering business,Unforeseeable business circumstances prompted by COVID- 19
New York,"530 Hospitality, LLC dba The Skylark",New York,59,05/20/2020,05/24/2020,Plant Layoff,,,New York City,New York,Restaurant/Food Services,Unforeseeable business circumstances prompted by COVID- 19
New York,"RWS and Associates Entertainment, Inc. dba RWS Entertainment Group",Long Island City,29,05/20/2020,06/30/2020,Plant Layoff,,,New York City,Queens,Provider of branded stage shows and experiences.,Unforeseeable business circumstances prompted by COVID- 19
New York,Michelangelo Hotel,New York,104,05/20/2020,03/28/2020,Temporary Plant Closing,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Space-Craft Worldwide Inc.,Hauppauge,113,05/20/2020,03/16/2020,Temporary Plant Closing,,,Long Island,Suffolk,Multidisciplinary Design-Fabrication Firm,Unforeseeable business circumstances prompted by COVID- 19
New York,Gate Gourmet (JFK kitchen),Inwood,169,05/19/2020,03/31/2020,Plant Layoff,,,Long Island,Hempstead,Airline catering services,Unforeseeable business circumstances prompted by COVID-19
New York,Prosegur Services Group at LaGuardia Gateway Partners Airport,Queens,103,05/19/2020,05/31/2020,Plant Layoff,,,New York City,Queens,Providing full- solution security services,Unforeseeable business circumstances prompted by COVID- 19.
