State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Management & Training Corp. - MTC Medical LLC (Giles W. Dalby Correctional Facility),Post,206,03/01/2022,05/01/2022,,,,South Plains WDA,Garza,,
Texas,"Cognosante, LLC",McAllen,84,02/15/2022,04/18/2022,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,Amentum,New Boston,178,01/28/2022,03/27/2022,,,,North East Texas WDA,Bowie,,
Texas,Dynamic Foods,Lubbock,80,01/24/2022,01/11/2022,,,,South Plains WDA,Lubbock,,
Texas,"Stearns Lending, LLC - Corporate Dr.",Lewisville,348,01/06/2022,03/13/2022,,,,North Central Texas WDA,Denton,,
Texas,"Monitronics International, Inc. dba Brinks Home",Dallas,42,12/20/2021,12/17/2021,,,,Dallas County WDA,Dallas,,
Texas,Central Freight Lines - San Antonio,San Antonio,66,12/16/2021,12/17/2021,,,,Alamo WDA,Bexar,,
Texas,Central Freight Lines,Waco,153,12/16/2021,12/13/2021,,,,Heart of Texas WDA,McLennan,,
Texas,Central Freight Lines - Houston,Houston,162,12/16/2021,12/13/2021,,,,Gulf Coast WDA,Harris,,
Texas,"Central Freight Lines, Inc.",Ft. Worth,292,12/16/2021,12/13/2021,,,,Tarrant County WDA,Tarrant,,
Texas,"Change Healthcare Operations, LLC",Greenville,145,12/06/2021,02/04/2022,,,,North Central WDA,Hunt,,
Texas,Laredo Transit Management-El Metro Transit,Laredo,168,12/02/2021,01/31/2022,,,,South Texas WDA,Webb,,
Texas,"Marshal S. Frumin, M.D.",Sugar Land,6,12/02/2021,12/31/2021,,,,Gulf Coast WDA,Fort Bend,,
Texas,Cypress Creek Emergency Medical Services,Spring,102,11/23/2021,11/13/2021,,,,Gulf Coast WDA,Montgomery,,
Texas,Luminant Mining Co.-Martin Lake Liberty Mine,Tatum,160,11/08/2021,12/26/2021,,,,East Texas WDA,Rusk,,
Texas,Zillow Group,Coppell,32,11/04/2021,01/03/2022,,,,Dallas County WDA,Dallas,,
Texas,YMCA - Waco,Waco,127,11/04/2021,12/31/2021,,,,Heart of Texas WDA,McLennan,,
Texas,"Odle Management Group, LLC",El Paso,134,10/29/2021,10/25/2021,,,,Borderplexjobs WDA,El Paso,,
Texas,The Children's Shelter-Family Tapestry,San Antonio,41,10/11/2021,11/20/2021,,,,Alamo WDA,Bexar,,
Texas,NPL,Garland,60,09/29/2021,10/16/2021,,,,Dallas County WDA,Dallas,,
Texas,NPL - Shiloh Rd.,Garland,6,09/29/2021,10/16/2021,,,,Dallas County WDA,Dallas,,
Texas,CEVA Logistics - Raytheon Facility,Carrollton,87,09/27/2021,11/09/2021,,,,North Central Texas WDA,Denton,,
Texas,Disney Streaming Technology LLC,The Woodlands,63,09/16/2021,11/10/2021,,,,Gulf Coast WDA,Montgomery,,
Texas,The Woodlands Enterprises LLC,The Woodlands,181,09/15/2021,11/10/2021,,,,Gulf Coast WDA,Montgomery,,
Texas,Amentum,New Boston,92,09/14/2021,10/29/2021,,,,North East Texas WDA,Bowie,,
Texas,Leidos-Killeen,Killeen,60,08/30/2021,09/29/2021,,,,Central Texas WDA,Bell,,
Texas,Basic Energy Services-Denver City,Denver City,57,08/20/2021,10/19/2021,,,,South Plains WDA,Yoakum,,
Texas,Basic Energy Services-Andrews2,Andrews,63,08/20/2021,10/19/2021,,,,Permian Basin WDA,Andrews,,
Texas,Basic Energy Services-Big Springs2,Big Spring,135,08/20/2021,10/19/2021,,,,Permian Basin WDA,Howard,,
Texas,Basic Energy Services-Ft Worth-ALM Regent,Ft. Worth,120,08/20/2021,10/19/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Basic Energy Services-Andrews,Andrews,63,08/20/2021,10/19/2021,,,,Permian Basin WDA,Andrews,,
Texas,Basic Energy Services-Kennedy,Kenedy,56,08/20/2021,10/19/2021,,,,Gulf Coast WDA,Karnes,,
Texas,Garland Behvaioral Hospital,Garland,119,08/10/2021,10/07/2021,,,,Dallas County WDA,Dallas,,
Texas,Interim Healthcare-San Antonio,San Antonio,366,08/03/2021,10/01/2021,,,,Alamo WDA,Bexar,,
Texas,Crothall Healthcare-DeTar Healthcare,Victoria,53,08/03/2021,09/30/2021,,,,Golden Crescent WDA,Victoria,,
Texas,Management & Training-Willacy County Regional Correction,Raymondville,186,07/27/2021,09/30/2021,,,,Lower Rio Grande Valley WDA,Willacy,,
Texas,"XPO Logistics Supply Chain, LLC",San Antonio,29,07/23/2021,08/02/2021,,,,Alamo WDA,Bexar,,
Texas,U.S. Well Services - Pleasanton,Pleasanton,66,07/12/2021,09/07/2021,,,,Alamo WDA,Atascosa,,
Texas,Tranter Inc.,Wichita Falls,78,07/08/2021,10/01/2021,,,,North Texas WDA,Wichita,,
Texas,Fusion Logistics Inc. - Farmers Branch,Farmers Branch,57,07/08/2021,07/12/2021,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Garland,Garland,50,07/08/2021,07/12/2021,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Coppell,Coppell,62,07/08/2021,07/12/2021,,,,Dallas County WDA,Dallas,,
Texas,Fusion Logistics Inc. - Ft. Worth,Fort Worth,53,07/08/2021,07/12/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Fusion Logistics Inc. - Houston,Houston,81,07/08/2021,07/12/2021,,,,Gulf Coast WDA,Harris,,
Texas,Turner Industries,Paris,250,07/01/2021,08/30/2021,,,,North East Texas WDA,Lamar,,
Texas,"Cubic ITS, Inc.",Sugar Land,80,07/01/2021,02/01/2022,,,,Gulf Coast WDA,Fort Bend,,
Texas,TT Electronics (IRC),Corpus Christi,73,06/17/2021,08/16/2021,,,,Coastal Bend WDA,Nueces,,
Texas,Electronic Transaction Consultants,Richardson,34,06/07/2021,07/30/2021,,,,Dallas County WDA,Dallas,,
Texas,"Progenity, Inc.-Fuller Dr.",Irving,51,06/07/2021,08/06/2021,,,,Dallas County WDA,Dallas,,
Texas,"Progenity, Inc.-Riverside Dr.",Irving,9,06/07/2021,08/06/2021,,,,Dallas County WDA,Dallas,,
Texas,"Mattison Pathology, LLP dba Avero Diagnotics",Irving,5,06/07/2021,08/06/2021,,,,Dallas County WDA,Dallas,,
Texas,Mattison Pathollogy dba Avero Diagnotics-Fuller Dr.,Irving,7,06/07/2021,08/06/2021,,,,Dallas County WDA,Dallas,,
Texas,Texas Golden Peanut -ADM,El Paso,86,06/03/2021,07/31/2021,,,,Borderplexjobs WDA,El Paso,,
Texas,Katerra Inc.,Carrollton,82,06/01/2021,06/04/2021,,,,Dallas County WDA,Dallas,,
Texas,Probe Group North America LLC,Lewisville,150,06/01/2021,07/31/2021,,,,North Central Texas WDA,Denton,,
Texas,U.S. Well Services,San Angelo,63,05/24/2021,07/20/2021,,,,Concho Valley WDA,Tom Green,,
Texas,U.S. Well Services - Pleasanton,Pleasanton,108,05/24/2021,07/23/2021,,,,Alamo WDA,Atascosa,,
Texas,"AIG Technologies, Inc.",Fort Worth,63,05/20/2021,07/23/2021,,,,Tarrant County WDA,Tarrant,,
Texas,Legend Energy Service-Longview,Longview,118,05/20/2021,05/15/2021,,,,East Texas WDA,Gregg,,
Texas,Aramark Educational Services - SFASU,Nacogdoches,215,05/20/2021,06/30/2021,,,,Deep East Texas WDA,Nacogdoches,,
Texas,The Children's Shelter-Family Tapestry,San Antonio,93,05/17/2021,07/13/2021,,,,Alamo WDA,Bexar,,
Texas,Art Asset-Dallas,Grand Prairie,7,05/12/2021,04/23/2021,,,,Dallas County WDA,Dallas,,
Texas,Art Asset-Austin 1,Austin,5,05/12/2021,04/23/2021,,,,Capital Area WDA,Travis,,
Texas,Art Asset-Houston,Houston,12,05/12/2021,04/23/2021,,,,Gulf Coast WDA,Harris,,
Texas,Art Asset-San Antonio North,San Antonio,3,05/12/2021,04/23/2021,,,,Alamo WDA,Bexar,,
Texas,Art Asset-San Antonio Central,San Antonio,2,05/12/2021,04/23/2021,,,,Alamo WDA,Bexar,,
Texas,Art Asset-Austin Corporate,Austin,9,05/12/2021,04/23/2021,,,,Rural Capital WDA,Williamson,,
Texas,Art Asset-El Paso,El Paso,1,05/12/2021,04/23/2021,,,,Borderplexjobs WDA,El Paso,,
Texas,Art Asset-Killeen,Killeen,2,05/12/2021,04/23/2021,,,,Central Texas WDA,Bell,,
Texas,Art Asset-Brownsville,Weslaco,2,05/12/2021,04/23/2021,,,,Lower Rio Grande Valley WDA,Hidalgo,,
Texas,"Texas Capital Bank, NA - MCA",Richardson,95,05/10/2021,05/07/2021,,,,Dallas County WDA,Dallas,,
Texas,Reliant Transportation,Justin,259,05/04/2021,05/29/2021,,,,North Central Texas WDA,Denton,,
Texas,Reliant Transportation-West Lot,Haslet,98,05/04/2021,05/29/2021,,,,Tarrant County WDA,Tarrant,,
Texas,EnerVest Ltd.,Houston,111,04/30/2021,06/28/2021,,,,Gulf Coast WDA,Harris,,
Texas,"Conduit Global-kgb USA, Inc.",San Antonio,245,04/29/2021,07/26/2021,,,,Alamo WDA,Bexar,,
Texas,Sodexo-Texoma Medical Center,Denison,105,04/29/2021,06/20/2021,,,,Texoma WDA,Grayson,,
Texas,Concentrix CVG,Laredo,422,04/28/2021,08/21/2021,,,,South Texas WDA,Webb,,
Texas,Five Star Senior Living Inc.,San Antonio,63,04/27/2021,04/30/2021,,,,Alamo WDA,Bexar,,
Texas,Union Pacific Palestine Car Facility,Palestine,57,04/27/2021,06/14/2021,,,,East Texas WDA,Anderson,,
Texas,Frontier Communications Corp.-Citizens Telecom Services,Allen,33,04/15/2021,06/30/2021,,,,North Central Texas WDA,Collin,,
Texas,Kindred Hospital - Mansfield,Mansfield,156,04/15/2021,06/14/2021,,,,Tarrant County WDA,Tarrant,,
Texas,GDC Technics,San Antonio,56,04/15/2021,04/09/2021,,,,Alamo WDA,Bexar,,
Texas,GDC Technics - Ft. Worth,Fort Worth,120,04/15/2021,04/09/2021,,,,North Central Texas WDA,Denton,,
Texas,Leidos-VA Austin IT Center,Austin,140,04/13/2021,06/06/2021,,,,Capital Area WDA,Travis,,
Texas,"Fresenius Health Partners, I c.",Austin,121,04/06/2021,05/31/2021,,,,Capital Area WDA,Travis,,
